=== Memory Watchdog ===
Monitoring PID 7942, threshold: 53477376 KB (~51.2 GB)
Started at Fri Feb 20 22:52:00 PST 2026

22:57:59  RSS: 620 MB  Peak: 623 MB
22:58:01  RSS: 621 MB  Peak: 623 MB
22:58:03  RSS: 621 MB  Peak: 623 MB
22:58:05  RSS: 621 MB  Peak: 623 MB
22:58:07  RSS: 621 MB  Peak: 623 MB
22:58:09  RSS: 621 MB  Peak: 623 MB
22:58:11  RSS: 621 MB  Peak: 623 MB
22:58:13  RSS: 621 MB  Peak: 623 MB
22:58:15  RSS: 621 MB  Peak: 623 MB
22:58:17  RSS: 621 MB  Peak: 623 MB
22:58:19  RSS: 621 MB  Peak: 623 MB
22:58:21  RSS: 621 MB  Peak: 623 MB
22:58:23  RSS: 621 MB  Peak: 623 MB
22:58:25  RSS: 621 MB  Peak: 623 MB
22:58:27  RSS: 621 MB  Peak: 623 MB
22:58:29  RSS: 621 MB  Peak: 623 MB
22:58:31  RSS: 621 MB  Peak: 623 MB
22:58:33  RSS: 621 MB  Peak: 623 MB
22:58:35  RSS: 621 MB  Peak: 623 MB
22:58:37  RSS: 621 MB  Peak: 623 MB
22:58:39  RSS: 621 MB  Peak: 623 MB
22:58:41  RSS: 621 MB  Peak: 623 MB
22:58:43  RSS: 621 MB  Peak: 623 MB
22:58:45  RSS: 621 MB  Peak: 623 MB
22:58:47  RSS: 621 MB  Peak: 623 MB
22:58:49  RSS: 621 MB  Peak: 623 MB
22:58:51  RSS: 621 MB  Peak: 623 MB
22:58:53  RSS: 621 MB  Peak: 623 MB
22:58:55  RSS: 621 MB  Peak: 623 MB
22:58:57  RSS: 621 MB  Peak: 623 MB
22:58:59  RSS: 621 MB  Peak: 623 MB
22:59:01  RSS: 621 MB  Peak: 623 MB
22:59:03  RSS: 621 MB  Peak: 623 MB
22:59:05  RSS: 621 MB  Peak: 623 MB
22:59:07  RSS: 621 MB  Peak: 623 MB
22:59:09  RSS: 621 MB  Peak: 623 MB
22:59:11  RSS: 621 MB  Peak: 623 MB
22:59:13  RSS: 621 MB  Peak: 623 MB
22:59:15  RSS: 621 MB  Peak: 623 MB
22:59:17  RSS: 621 MB  Peak: 623 MB
22:59:19  RSS: 621 MB  Peak: 623 MB
22:59:21  RSS: 621 MB  Peak: 623 MB
22:59:23  RSS: 621 MB  Peak: 623 MB
22:59:25  RSS: 621 MB  Peak: 623 MB
22:59:27  RSS: 621 MB  Peak: 623 MB
22:59:29  RSS: 621 MB  Peak: 623 MB
22:59:31  RSS: 621 MB  Peak: 623 MB
22:59:33  RSS: 621 MB  Peak: 623 MB
22:59:35  RSS: 621 MB  Peak: 623 MB
22:59:37  RSS: 621 MB  Peak: 623 MB
22:59:39  RSS: 621 MB  Peak: 623 MB
22:59:41  RSS: 621 MB  Peak: 623 MB
22:59:43  RSS: 621 MB  Peak: 623 MB
22:59:45  RSS: 621 MB  Peak: 623 MB
22:59:47  RSS: 621 MB  Peak: 623 MB
22:59:49  RSS: 621 MB  Peak: 623 MB
22:59:51  RSS: 621 MB  Peak: 623 MB
22:59:53  RSS: 621 MB  Peak: 623 MB
22:59:55  RSS: 625 MB  Peak: 625 MB
22:59:58  RSS: 625 MB  Peak: 625 MB
23:00:00  RSS: 625 MB  Peak: 625 MB
23:00:02  RSS: 625 MB  Peak: 625 MB
23:00:04  RSS: 625 MB  Peak: 625 MB
23:00:06  RSS: 625 MB  Peak: 625 MB
23:00:08  RSS: 625 MB  Peak: 625 MB
23:00:10  RSS: 625 MB  Peak: 625 MB
23:00:12  RSS: 625 MB  Peak: 625 MB
23:00:14  RSS: 625 MB  Peak: 625 MB
23:00:16  RSS: 625 MB  Peak: 625 MB
23:00:18  RSS: 625 MB  Peak: 625 MB
23:00:20  RSS: 625 MB  Peak: 625 MB
23:00:22  RSS: 625 MB  Peak: 625 MB
23:00:24  RSS: 625 MB  Peak: 625 MB
23:00:26  RSS: 625 MB  Peak: 625 MB
23:00:28  RSS: 625 MB  Peak: 625 MB
23:00:30  RSS: 625 MB  Peak: 625 MB
23:00:32  RSS: 630 MB  Peak: 630 MB
23:00:34  RSS: 630 MB  Peak: 630 MB
23:00:36  RSS: 630 MB  Peak: 630 MB
23:00:38  RSS: 630 MB  Peak: 630 MB
23:00:40  RSS: 630 MB  Peak: 630 MB
23:00:42  RSS: 630 MB  Peak: 630 MB
23:00:44  RSS: 630 MB  Peak: 630 MB
23:00:46  RSS: 630 MB  Peak: 630 MB
23:00:48  RSS: 630 MB  Peak: 630 MB
23:00:50  RSS: 630 MB  Peak: 630 MB
23:00:52  RSS: 630 MB  Peak: 630 MB
23:00:54  RSS: 630 MB  Peak: 630 MB
23:00:56  RSS: 630 MB  Peak: 630 MB
23:00:58  RSS: 630 MB  Peak: 630 MB
23:01:00  RSS: 630 MB  Peak: 630 MB
23:01:02  RSS: 625 MB  Peak: 630 MB
23:01:04  RSS: 625 MB  Peak: 630 MB
23:01:06  RSS: 625 MB  Peak: 630 MB
23:01:08  RSS: 625 MB  Peak: 630 MB
23:01:10  RSS: 625 MB  Peak: 630 MB
23:01:12  RSS: 625 MB  Peak: 630 MB
23:01:14  RSS: 625 MB  Peak: 630 MB
23:01:16  RSS: 625 MB  Peak: 630 MB
23:01:18  RSS: 625 MB  Peak: 630 MB
23:01:20  RSS: 625 MB  Peak: 630 MB
23:01:22  RSS: 625 MB  Peak: 630 MB
23:01:24  RSS: 625 MB  Peak: 630 MB
23:01:26  RSS: 625 MB  Peak: 630 MB
23:01:28  RSS: 625 MB  Peak: 630 MB
23:01:30  RSS: 625 MB  Peak: 630 MB
23:01:32  RSS: 625 MB  Peak: 630 MB
23:01:34  RSS: 625 MB  Peak: 630 MB
23:01:36  RSS: 625 MB  Peak: 630 MB
23:01:38  RSS: 625 MB  Peak: 630 MB
23:01:40  RSS: 625 MB  Peak: 630 MB
23:01:42  RSS: 625 MB  Peak: 630 MB
23:01:44  RSS: 625 MB  Peak: 630 MB
23:01:46  RSS: 625 MB  Peak: 630 MB
23:01:48  RSS: 625 MB  Peak: 630 MB
23:01:50  RSS: 625 MB  Peak: 630 MB
23:01:52  RSS: 625 MB  Peak: 630 MB
23:01:54  RSS: 625 MB  Peak: 630 MB
23:01:56  RSS: 625 MB  Peak: 630 MB
23:01:58  RSS: 625 MB  Peak: 630 MB
23:02:00  RSS: 625 MB  Peak: 630 MB
23:02:02  RSS: 625 MB  Peak: 630 MB
23:02:04  RSS: 625 MB  Peak: 630 MB
23:02:06  RSS: 625 MB  Peak: 630 MB
23:02:08  RSS: 625 MB  Peak: 630 MB
23:02:10  RSS: 625 MB  Peak: 630 MB
23:02:12  RSS: 625 MB  Peak: 630 MB
23:02:14  RSS: 625 MB  Peak: 630 MB
23:02:16  RSS: 625 MB  Peak: 630 MB
23:02:18  RSS: 625 MB  Peak: 630 MB
23:02:20  RSS: 625 MB  Peak: 630 MB
23:02:22  RSS: 625 MB  Peak: 630 MB
23:02:24  RSS: 625 MB  Peak: 630 MB
23:02:26  RSS: 625 MB  Peak: 630 MB
23:02:28  RSS: 625 MB  Peak: 630 MB
23:02:30  RSS: 625 MB  Peak: 630 MB
23:02:32  RSS: 624 MB  Peak: 630 MB
23:02:34  RSS: 624 MB  Peak: 630 MB
23:02:36  RSS: 624 MB  Peak: 630 MB
23:02:39  RSS: 624 MB  Peak: 630 MB
23:02:41  RSS: 549 MB  Peak: 630 MB
23:02:43  RSS: 624 MB  Peak: 630 MB
23:02:45  RSS: 624 MB  Peak: 630 MB
